ticker,ticker_cnt,industry,beta,sector
CNNC,29,Drug Manufacturers—Specialty & Generic,3.816666,Healthcare
DKMR,21,,,
SIPN,20,Shell Companies,1.616964,Financial Services
SRCO,17,Software—Application,0.726785,Technology
MEPW,15,Shell Companies,-1.9125,Financial Services
XERI,14,Aerospace & Defense,-0.402435,Industrials
TCNT,12,Shell Companies,-1.100892,Financial Services
DCAC,12,Consulting Services,-13.442156,Industrials
BPSR,12,,,
LEGX,12,,,
BRVO,12,Gambling,-0.415686,Consumer Cyclical
CUII,12,Insurance Brokers,-1.62647,Financial Services
PIAC,12,Asset Management,0.213235,Financial Services
IRCC,11,Utilities—Renewable,4.45098,Utilities
SUND,11,Insurance—Diversified,0.25245,Financial Services
SPUP,11,Shell Companies,,Financial Services
AMIH,11,Personal Services,0.0334,Consumer Cyclical
DMS,11,Advertising Agencies,0.479658,Communication Services
MPAA,11,Auto Parts,1.67745,Consumer Cyclical
INTV,11,Software—Application,2.617647,Technology
CMC,11,Steel,1.185294,Basic Materials
BTZI,11,Software—Application,1.219607,Technology
EPAC,11,Specialty Industrial Machinery,1.459803,Industrials
RTSL,11,Medical Devices,-2.217156,Healthcare
AAGH,11,Biotechnology,-0.768137,Healthcare
QMCO,11,Computer Hardware,2.295098,Technology
SMPR,11,Other Precious Metals & Mining,-0.061274,Basic Materials
BBCP,10,Engineering & Construction,1.076126,Industrials
ESE,10,Scientific & Technical Instruments,1.158823,Technology
UNF,10,Specialty Business Services,1.013725,Industrials
OPXS,10,Aerospace & Defense,0.521568,Industrials
ORCL,10,Software—Infrastructure,0.830392,Technology
TYME,10,Biotechnology,1.072058,Healthcare
MIME,10,Software—Infrastructure,1.432352,Technology
AVNW,10,Communication Equipment,1.873039,Technology
MARPS,10,Oil & Gas Midstream,0.519117,Energy
DJCO,10,Software—Application,0.740686,Technology
RAMP,10,Software—Infrastructure,1.120098,Technology
ESSA,10,Banks—Regional,,Financial Services
FONR,10,Medical Devices,0.855392,Healthcare
GIS,10,Packaged Foods,0.502941,Consumer Defensive
AIR,10,Aerospace & Defense,1.664705,Industrials
SMBC,10,Banks—Regional,0.897058,Financial Services
ALJJ,10,Specialty Business Services,1.605882,Industrials
RICK,10,Restaurants,2.00245,Consumer Cyclical
SCHL,10,Publishing,0.75,Communication Services
HFBL,10,Banks—Regional,,Financial Services
PSSR,10,Aerospace & Defense,0.05098,Industrials
FOXA,10,Broadcasting,0.941705,Communication Services
MLVF,10,Banks—Regional,0.972549,Financial Services
WESC,10,Travel Services,-3.271568,Consumer Cyclical
MGYR,10,Banks—Regional,0.253431,Financial Services
BLIS,10,Specialty Business Services,2.175273,Industrials
SGMA,10,Electronic Components,1.146078,Technology
DUUO,10,Software—Application,-0.34684,Technology
TRT,10,Semiconductor Equipment & Materials,1.365196,Technology
ATXG,10,Integrated Freight & Logistics,-0.497549,Industrials
VERU,10,Biotechnology,0.474509,Healthcare
CSPI,10,Information Technology Services,1.70147,Technology
ENOB,10,Biotechnology,0.396905,Healthcare
AZO,10,Specialty Retail,0.920588,Consumer Cyclical
EXDW,10,Education & Training Services,1.216239,Consumer Defensive
GLNS,10,,,
ISR,10,Medical Instruments & Supplies,0.991176,Healthcare
KALV,10,Biotechnology,1.788235,Healthcare
ESP,10,Electrical Equipment & Parts,0.229901,Industrials
